scenario,expiry,tenor,moneyness_basis_points,strike,qf_rates,quantlib,absolute_difference,difference_basis_points_notional,relative_difference
low_volatility,2.0,10.0,-100.0,0.015315120524428882,0.08311997379849091,0.08311985909513739,1.1470335352370409e-07,0.0011470335352370409,1.3799753124270439e-06
low_volatility,2.0,10.0,0.0,0.025315120524428882,0.010150233934171712,0.010131861145989999,1.837278818171348e-05,0.18372788181713479,0.0018133675459009902
low_volatility,2.0,10.0,100.0,0.03531512052442888,4.175225688793116e-06,4.19267085372222e-06,1.744516492910363e-08,0.0001744516492910363,0.004160871563198421
low_volatility,5.0,2.0,-100.0,0.015315120524428917,0.017249413664281687,0.017255831439113765,6.417774832078588e-06,0.06417774832078588,0.0003719191888680268
low_volatility,5.0,2.0,0.0,0.025315120524428917,0.004300752012938586,0.00428753546790669,1.3216545031895406e-05,0.13216545031895405,0.003082550600648008
low_volatility,5.0,2.0,100.0,0.035315120524428915,0.00026555277393422227,0.00026710908746328154,1.5563135290592653e-06,0.015563135290592653,0.005826509100979972
low_volatility,5.0,5.0,-100.0,0.015315120524428875,0.0412230728896714,0.04120401476418958,1.905812548182173e-05,0.1905812548182173,0.0004625307895575543
low_volatility,5.0,5.0,0.0,0.025315120524428875,0.008799987624099498,0.00868269593237585,0.00011729169172364738,1.1729169172364737,0.013508672034257544
low_volatility,5.0,5.0,100.0,0.035315120524428874,0.00027554478131885436,0.00026239600050286617,1.314878081598819e-05,0.1314878081598819,0.050110446770489425
low_volatility,5.0,10.0,-100.0,0.015315120524428889,0.07723016751049205,0.07723310413617608,2.9366256840274163e-06,0.029366256840274163,3.802288820153607e-05
low_volatility,5.0,10.0,0.0,0.02531512052442889,0.013512898811836708,0.013513894211621217,9.953997845094792e-07,0.009953997845094792,7.365750899940369e-05
low_volatility,5.0,10.0,100.0,0.03531512052442889,0.00014286386431432073,0.0001443887392841558,1.524874969835064e-06,0.01524874969835064,0.010560899536868475
base,1.0,2.0,-100.0,0.01531512052442881,0.019355707185098218,0.019349457905227962,6.249279870255281e-06,0.06249279870255281,0.0003229692480721545
base,1.0,2.0,0.0,0.02531512052442881,0.00553008102704955,0.005559282797128986,2.9201770079435516e-05,0.2920177007943552,0.005252794496174284
base,1.0,2.0,100.0,0.03531512052442881,0.0005935300617442868,0.0005841806761383449,9.349385605941893e-06,0.09349385605941893,0.01600427057557752
base,1.0,5.0,-100.0,0.015315120524428837,0.045678737323446864,0.045685277885461714,6.540562014850648e-06,0.06540562014850648,0.00014316563929519255
base,1.0,5.0,0.0,0.025315120524428837,0.010431837909679472,0.01038850513416942,4.33327755100521e-05,0.433327755100521,0.004171223381073743
base,1.0,5.0,100.0,0.03531512052442884,0.0004365947127965427,0.00045197816463097613,1.538345183443342e-05,0.15383451834433418,0.0340358296887936
base,1.0,10.0,-100.0,0.015315120524428854,0.08538084018103838,0.08538175202964966,9.118486112846824e-07,0.009118486112846824,1.0679666200431608e-05
base,1.0,10.0,0.0,0.025315120524428854,0.01534874282006471,0.015310175850883312,3.856696918139689e-05,0.38566969181396893,0.0025190415549127603
base,1.0,10.0,100.0,0.03531512052442885,0.0001960329488032485,0.00019394282570347495,2.0901230997735407e-06,0.020901230997735408,0.010777006533715215
base,2.0,2.0,-100.0,0.015315120524428924,0.019641325297828874,0.019636641784765197,4.683513063676731e-06,0.04683513063676731,0.00023850886088426618
base,2.0,2.0,0.0,0.025315120524428924,0.006969824974727391,0.0069831199362116935,1.3294961484302398e-05,0.13294961484302398,0.001903871278990927
